2020,Type,Human_Broadleaf,,,,,,,,2020,Type,Nat_Broadleaf,,,,
70,1,0.742701197713915,0.7128957939259511,0.76366984981771,0.7948930216080025,0.08183293049755822,,,,70,1,0.7602462834656071,0.7402011212907723,0.7793239534244334,0.8065994346617649,0.07493107404244734
80,1,0.746777882776679,0.7207134120123008,0.7636474984084434,0.7949324941350531,0.0783369567349796,,,,80,1,0.7609097158712747,0.740228856008365,0.7793056040800321,0.8066131082561462,0.07275031344131258
90,1,0.7523552793103585,0.7285217374734169,0.7714776130237256,0.8027218113396635,0.07704917799010691,,,,90,1,0.7638786169330791,0.7441754640102386,0.7792980680013042,0.8066295038502647,0.07241217493391354
100,1,0.7543842433329843,0.728525392816977,0.7715096655009761,0.8027449668214532,0.07519731045289613,,,,100,1,0.7635273089177054,0.7402643687022266,0.7792980647087098,0.8066597523314903,0.07219580116634561
110,1,0.757391431044927,0.7324329373572542,0.7714524810371343,0.802711258743059,0.07351521418281007,,,,110,1,0.7651640941693403,0.7441715920293653,0.7793156778629887,0.8065796095546479,0.07053874420460225
120,1,0.7596978165354452,0.736355393225634,0.7753936029699423,0.806630933679045,0.07269614920783322,,,,120,1,0.7651976738249389,0.7442270725272423,0.7793034832636888,0.8066398927143642,0.07037370396261139
130,1,0.7619038277993451,0.7363662083027194,0.7753888367127262,0.8066078323473672,0.071303575850594,,,,130,1,0.7665005542793036,0.7441461406090186,0.7831847390030582,0.8105682373578532,0.06985351516347472
140,1,0.7624723908496066,0.740269505166327,0.7754012994032068,0.8066053047635452,0.0692091027971734,,,,140,1,0.7656739620736808,0.744190446935931,0.7793317950720605,0.8065897754774995,0.06809922033337315
150,1,0.7651154927397377,0.7402221323874876,0.7793115177061921,0.8066495128770317,0.06849110112353901,,,,150,1,0.767141499567775,0.7441801803292928,0.7793398582693284,0.8105000452353404,0.06839394483260024
160,1,0.7648551647736922,0.740257530643122,0.7792833912885764,0.8066151861307789,0.0668775177938714,,,,160,1,0.7657632771020243,0.7402537801736588,0.7793137320405559,0.8066176212704752,0.06847684764174698
170,1,0.7681233125881031,0.7441630219704659,0.7793145747768964,0.8105065126181537,0.06559313450668519,,,,170,1,0.7668009446134809,0.7441579159937407,0.7793029663906552,0.8105313152427595,0.06868787992768022
180,1,0.7690313193271117,0.7441754855610591,0.7832265297292856,0.8105311044655826,0.06477343314628739,,,,180,1,0.7666346048036865,0.7441722133991034,0.7793209704071425,0.810481818291136,0.06817149220875081
190,1,0.7701722368666984,0.7480698097405193,0.7832014467318543,0.8105342031759724,0.06438891842230385,,,,190,1,0.7676559052282375,0.7441711882176747,0.7793029854938849,0.8105623374085227,0.06756507610476764
200,1,0.7710457059238247,0.7461789283416153,0.785204216000968,0.8085472146124857,0.06317779702496848,,,,200,1,0.7669907598101794,0.744149575066832,0.7792752594255924,0.8105685626132493,0.06817097589741603
210,1,0.7726471315418821,0.7480393851705368,0.783191988878678,0.8105109076979052,0.06247023983287928,,,,210,1,0.7677271951534083,0.7441827868556117,0.7793197220521384,0.8105160335828314,0.06846840145328363
220,1,0.7717885577119986,0.7480392807501686,0.783209485485936,0.8105183543227211,0.0619671788642217,,,,220,1,0.7662944683796032,0.7402980088962486,0.7792376163467488,0.8105884472433457,0.06771601599100552
230,1,0.7738426132123448,0.7519352617808801,0.7871036293302289,0.8144060878945333,0.06185393110040898,,,,230,1,0.7679400749245984,0.7402498874181694,0.7793194385062796,0.8105428060506492,0.06644674999777637
240,1,0.7730571632344543,0.7480416441057018,0.78320815758348,0.8105210732279647,0.06073884590746178,,,,240,1,0.7657442726138519,0.7402910984071733,0.7793178115897316,0.8105563404097565,0.06768283627700357
