2018,HumanEdge,,,,,,type,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
110,0.7597787650543221,0.7227306434581948,0.769560229707571,0.8085534927126641,0.07654455505873393,,,0.7377808398002754,0.6992883039740279,0.7539263535078266,0.7929287616876539,0.08578378572322609,
120,0.7609115656060452,0.7227331909837186,0.7773617826317567,0.8085535204070033,0.07598830613513421,,,0.7382208963651711,0.6992852250577252,0.7539269111741574,0.792928237211614,0.0850114116080156,
130,0.7626614532820911,0.7305428778736256,0.7773652890704189,0.8163535151626626,0.07543552106020575,,,0.7395158977843945,0.699287707953529,0.7539299304779417,0.7929308704029714,0.08469366995719178,
140,0.7637521264960314,0.7305463784747445,0.7773665515627172,0.8163523252601899,0.07486302852079937,,,0.740087177183251,0.6992884990775073,0.7539282856149108,0.79292885198971,0.08404258803730975,NaturalEdge
150,0.7649576647909793,0.7305458156196204,0.7773697465075508,0.8163544931898272,0.07447847362690892,,,0.7407308706175919,0.7070997269097563,0.7539295039204986,0.8007309333342271,0.08393571528712165,
160,0.7663133543677482,0.730550423200953,0.777371169108928,0.8163544194001653,0.0738667551715396,,,0.741697018658701,0.7071045626703528,0.7539317817191237,0.800729428765399,0.08343920953857106,
170,0.7672948827055104,0.7383583890009601,0.7773727496240558,0.8163566849059168,0.07349596583833459,,,0.7419726849819908,0.7071033909947392,0.753930652066472,0.8007303369448991,0.08335180290748564,
180,0.7685137356251899,0.7383603185370364,0.7773758209651545,0.8163567778469275,0.072917229140898,,,0.7428501307532445,0.7071034763864877,0.7617414587564478,0.8007282975031511,0.08290100636913135,
190,0.7697390449780983,0.738361490383246,0.7851758023643672,0.8163598036015531,0.07253020629807823,,,0.7435415547200809,0.7071016671168705,0.7617427532626979,0.8007324521657769,0.08284941510789319,
200,0.7707074834495298,0.7383623545440995,0.7851773675815251,0.8163601284867523,0.07199615131661534,,,0.7440891231048563,0.7071041644647836,0.761744728668936,0.8007326347769915,0.08244978153541432,
210,0.7719253837134238,0.7383636084321721,0.7851813004628742,0.816362397005962,0.0716170490861622,,,0.7448566210219201,0.7071040315357094,0.7617444828025284,0.8007329977495055,0.08239505959935334,
220,0.7728181455672675,0.7383656452191034,0.7851807293187562,0.8163624071479634,0.07112695381356482,,,0.745498661801846,0.7071007758135369,0.7617464252254218,0.8007333113553984,0.08207289705054145,
230,0.7734321116488443,0.7461621119246455,0.7851820022749262,0.8241603664442962,0.07075015593022176,,,0.7456789341070905,0.7071040456892334,0.7617472137798761,0.8007350353672744,0.08193889291755037,
240,0.7745762042921409,0.7461629896419251,0.7851854726813948,0.8241613158622593,0.07030251564559285,,,0.7466226677100487,0.7071032745636333,0.7617483037962509,0.8007363647481266,0.0817390642951733,
250,0.7751226602616701,0.7461644302054402,0.7851848023921149,0.8241621150995628,0.06984653541357107,,,0.7466656723359063,0.7071038901225123,0.7617468237336851,0.8007361202582879,0.08150397730301515,
260,0.7760736290451586,0.7461662155884928,0.7851877917768527,0.8241623831562217,0.06950152927525005,,,0.7474335907027141,0.7149164797768905,0.7617492593057401,0.8007339640677418,0.08132032952008175,
270,0.7765889808444105,0.7461676047792423,0.7851885846258583,0.824162894859301,0.06910141103292963,,,0.7476274944899645,0.714916104342854,0.7617477999540896,0.8007364278633403,0.08120232365252343,
280,0.7775496829476016,0.7461673769567758,0.7929867880193722,0.8241633789016561,0.06867248320176023,,,0.7484674465307254,0.7149168886330944,0.7617501596872186,0.8007388417760349,0.08100202371285878,
290,0.7779162281582377,0.7461694565168708,0.7929875841994445,0.8241633640904994,0.06832040145939526,,,0.7483656268649982,0.7149155776859704,0.7617498389344916,0.8007382793852326,0.0808553028525686,
300,0.7789115958760425,0.7461704213327098,0.7929885507039633,0.8241653729265318,0.06800527087508136,,,0.7493743909991069,0.7149164567217906,0.7617524794561422,0.8007420934070617,0.08076485984070933,
400,0.7842121984867028,0.7539846236647499,0.7929999768583841,0.8241711674324059,0.06496906303606698,,,0.7530529968398411,0.7149188990117935,0.769555422876505,0.8085414160732398,0.0797209675162614,
500,0.7877333524249633,0.7618060027156079,0.8007987260188408,0.8319670376692095,0.06277633348116046,,,0.7563306484813391,0.7227316329734639,0.7695632719020833,0.8085466379945262,0.07882489851443326,
600,0.790319382855552,0.7618089393654506,0.8008053705916741,0.8319700353979933,0.06114892929015879,,,0.7592261434910633,0.7227323914150784,0.7773696456156243,0.8085526445667188,0.07810400857141633,
700,0.7921074680380386,0.7618116210674695,0.800811258325627,0.8319717727674736,0.06000709419639158,,,0.7616470917144256,0.7305439394692124,0.7773742058569307,0.8163502670928751,0.07752770571893572,
800,0.7933950868030194,0.7696202280256651,0.8008147938152275,0.8319778349176155,0.05928103883959923,,,0.7637379148241109,0.7305457258501433,0.7773773830240854,0.8163541195611443,0.07705556522354173,
900,0.7943818688126233,0.7696211945954529,0.8008146234363634,0.8319771356192552,0.05874642322925535,,,0.7655561995934513,0.7305483979592702,0.7773812925883313,0.816359712788586,0.07661443354436988,
1000,0.795118406126654,0.7696236342714056,0.8008177067145527,0.8319815232929958,0.058427124274554855,,,0.7671540525483205,0.7305480985542717,0.7851862035199911,0.8163636575564444,0.07622278679502636,
,,,,,,,,,,,,,
2020,HumanEdge,,,,,,,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
10,0.6988062098531838,0.6289296348851038,0.707040740003319,0.7851419127840185,0.10948548023814075,,,0.6695870002779944,0.6054981594963394,0.6992419887475367,0.7616980967427928,0.12485972197522086,
20,0.7189269577876334,0.6601891042649503,0.7304813621648262,0.7929591785486774,0.10163605414475015,,,0.6976075832608294,0.6367578222326484,0.722682891765435,0.7773178104034582,0.11169569707247602,
30,0.724961647086852,0.6680100992193947,0.7382964763549793,0.792946462777188,0.09510112624184737,,,0.709177843218489,0.6602005312377219,0.7304981727997579,0.7851228126302524,0.10393105115619511,
40,0.7407029496450663,0.6914524850691546,0.7539128756953571,0.8085634917527338,0.0893486685377602,,,0.7226688807033305,0.6758297702787774,0.7461124374836031,0.7929328576254299,0.098670876127347,
50,0.7499746950922536,0.7070848114862842,0.7617374182267138,0.8163778156429726,0.08675749382420261,,,0.7285570737214949,0.6836485936614048,0.7461161212832255,0.7929390370343123,0.09586328183617927,
60,0.7528424197608394,0.707090360814455,0.7695460578873204,0.8163718173860001,0.08500378450286351,,,0.731109799590904,0.6836499592020152,0.7461158843522946,0.7929359222325382,0.093177950061763,
70,0.7580051742120495,0.7149050745776654,0.7695545353059183,0.8163755647139711,0.08340038138108398,,,0.7360236188746765,0.6914658522829925,0.753925605722926,0.8007424082104259,0.09183579168790572,
80,0.7601498263214105,0.7227173436021042,0.7773623990966404,0.8163766827868261,0.08239193902773709,,,0.7363560574305225,0.6914634801182171,0.7539214705047241,0.8007400213268144,0.09001637018687779,
90,0.7627979186906988,0.7227212925975185,0.7773657581690144,0.8163793583564903,0.08133165025484251,,,0.738686748560415,0.6992807949141628,0.7539259195454018,0.8007413296966003,0.08926600097315732,
100,0.7655464223446851,0.7227218780051413,0.7773703304248493,0.824182317002392,0.08070849588648953,,,0.7397337943716429,0.6992823616097429,0.7539269111878605,0.8007425899540989,0.08842355179071563,
110,0.7672110418340019,0.7305362961090882,0.7851761637951372,0.8241812724297988,0.08007116849215341,,,0.7411825427800001,0.6992841036236868,0.7539284657231081,0.800743887497705,0.08791913836215162,
120,0.7687958327393871,0.7305387134454366,0.7851800754005278,0.8241805857180272,0.07947523206530555,,,0.741576298475598,0.6992811053339618,0.7617397688520973,0.8007458161542562,0.0874406416740962,
130,0.7704736219436243,0.7305401812175851,0.785182559206245,0.8241828618570244,0.07875873076686407,,,0.742334149132285,0.6992801744637882,0.7617398699864383,0.8007441491345098,0.08719239105576233,
140,0.7716792752129548,0.7383521202193141,0.7851829977417834,0.8241840490357564,0.07819176195010304,,,0.7426842165260713,0.6992795717838978,0.7617401834076022,0.800743749178144,0.08675010774139005,
150,0.7731716995159454,0.7383551945195808,0.7851863195495711,0.8241841794343969,0.07740663744430769,,,0.7437808139342832,0.7070960247648984,0.7617434810870528,0.8007468344293639,0.08648575651065908,
160,0.774622163166508,0.7383567840499495,0.7851878315306063,0.8241847976337661,0.07682470251306449,,,0.7442313726568751,0.7070959471759624,0.7617410980362544,0.8007460446904688,0.08625101003848118,
