distance,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
110,0.99985271692276,0.18442994035294055,5.001818863092922E-5,0.13868352866400208,0.1777281637899546,0.22068897977979018,0.06441828029276975
120,0.9998349547386169,0.18527649522245368,2.5177927454933524E-5,0.13868487964909332,0.17772752454248658,0.22459222969009168,0.064879238236547
130,0.999936580657959,0.18614852884923627,5.00346977787558E-5,0.13868445525381298,0.17772826780194487,0.2245938950100304,0.0653372054347258
140,0.9995878338813782,0.1869882935714909,5.001949466532096E-5,0.13868544913325512,0.1777285425738319,0.22459483386123208,0.06584463666938437
150,0.9997944831848145,0.18769649736295743,2.1024312445661053E-5,0.1425885931229453,0.17772769663938734,0.22850235916743944,0.06621896461446704
160,0.9994015693664551,0.18835120365843516,2.1024312445661053E-5,0.14258774270574068,0.1816352827854962,0.22850169566646578,0.06662386278651546
170,0.999325692653656,0.18892699099223068,2.5114983145613223E-5,0.14258824241851834,0.1816348403392951,0.2285010222874946,0.06693956919812094
180,0.9999902248382568,0.18949316163645966,1.2683615204878151E-4,0.14258805014708972,0.18163401839439083,0.228501932452158,0.06730258895674479
190,0.9995549917221069,0.19000631184536965,1.0006222873926163E-4,0.1425890299385506,0.18163375149541658,0.22850225183809814,0.06761301663807058
200,0.9999520778656006,0.1904900751570553,1.0012853454099968E-4,0.14258858475798983,0.1816347164349356,0.2324082295855931,0.06786088010021493
210,0.9995241761207581,0.19094052189009264,5.003394471714273E-5,0.14258838992706838,0.1816330211441114,0.23240705594198344,0.0681543617386576
220,0.9999324083328247,0.19133307330498134,1.0005379590438679E-4,0.1425891659278999,0.18163514995027003,0.2324087571453204,0.06836850104016104
230,0.9988725781440735,0.1917418103748445,5.0039969210047275E-5,0.14258936744483783,0.1816348299590363,0.2324091277263054,0.06863169398518408
240,0.9999954104423523,0.19209834484354305,5.0039969210047275E-5,0.14258920971442046,0.18554013037007608,0.23240878349940994,0.06886085017154783
250,0.9999411702156067,0.19245442636364934,5.0093109166482463E-5,0.14258937689002182,0.18553996711712803,0.23240793785300315,0.06907318009676357
